population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
shaded,shadedD,shadedD6,3B,no,3.69,0.9,23.7,0,3,1,24,53,170,0.244
shaded,shadedD,shadedD6,3B,no,3.69,0.9,23.7,0,3,2,21,49,95,0.1794
shaded,shadedD,shadedD7,3B,yes,3.27,0.76,22.8,0,1,1,20,55,136,0.2991
shaded,shadedD,shadedD7,3B,yes,3.27,0.76,22.8,0,1,2,18,46,85,0.2734
shaded,shadedD,shadedD8,3B,no,4.02,1.04,24.9,0,1,1,8,30,76,0.3028
shaded,shadedD,shadedD8,3B,no,4.02,1.04,24.9,0,1,2,16,44,86,0.3195
shaded,shadedD,shadedD9,3B,no,3.77,1.27,24.1,0,1,1,14,54,126,0.2343
shaded,shadedD,shadedD9,3B,no,3.77,1.27,24.1,0,1,2,17,51,125,0.1701
shaded,shadedE,shadedE1,3B,yes,3.5,1.11,24,0,3,1,22,44,71,0.3463
shaded,shadedE,shadedE1,3B,yes,3.5,1.11,24,0,3,2,20,64,175,0.2974
shaded,shadedE,shadedE2,3B,no,3.47,0.92,23.4,0,3,1,166,240,305,0.2698
shaded,shadedE,shadedE2,3B,no,3.47,0.92,23.4,0,3,2,21,41,81,0.3558
shaded,shadedE,shadedE3,3B,no,2.4,0.57,21.2,0,2,1,24,63,119,0.1117
shaded,shadedE,shadedE3,3B,no,2.4,0.57,21.2,0,2,2,18,68,174,0.208
shaded,shadedE,shadedE4,3B,no,2.77,0.64,22.8,0,2,1,21,44,103,0.3012
shaded,shadedE,shadedE4,3B,no,2.77,0.64,22.8,0,2,2,13,42,104,0.3235
shaded,shadedE,shadedE5,3B,yes,2.57,0.66,20.9,0,2,1,15,60,157,0.2144
shaded,shadedE,shadedE5,3B,yes,2.57,0.66,20.9,0,2,2,17,102,287,0.2948
shaded,shadedE,shadedE6,3B,yes,4.16,1.15,25,0,3,1,24,51,86,0.2543
shaded,shadedE,shadedE6,3B,yes,4.16,1.15,25,0,3,2,16,48,129,0.31
shaded,shadedE,shadedE7,3B,no,2.97,0.63,21.8,0,2,1,38,74,116,0.1846
shaded,shadedE,shadedE7,3B,no,2.97,0.63,21.8,0,2,2,89,137,184,0.2345
shaded,shadedE,shadedE8,3B,yes,3.12,0.87,21.6,0,2,1,23,48,89,0.0175999999999999
shaded,shadedE,shadedE8,3B,yes,3.12,0.87,21.6,0,2,2,98,228,333,3.00000000000078e-4
shaded,shadedE,shadedE9,3B,no,4.25,0.96,24.4,0,2,1,112,1200,1200,0.3348
shaded,shadedE,shadedE9,3B,no,4.25,0.96,24.4,0,2,2,18,48,116,0.3444
shaded,shadedH,shadedH1,3B,no,2.8,0.78,20.9,0,3,1,60,127,187,0.2484
shaded,shadedH,shadedH1,3B,no,2.8,0.78,20.9,0,3,2,54,109,1200,0.1301
shaded,shadedH,shadedH2,3B,no,4.15,1.1,24.1,0,3,1,11,37,71,0.2267
shaded,shadedH,shadedH2,3B,no,4.15,1.1,24.1,0,3,2,8,38,80,0.2755
shaded,shadedH,shadedH3,3B,no,2.56,0.82,21.6,0,2,1,17,43,87,0.2054
shaded,shadedH,shadedH3,3B,no,2.56,0.82,21.6,0,2,2,16,144,192,0.2763
shaded,shadedH,shadedH4,3B,yes,2.66,0.83,23.2,0,1,1,20,46,82,0.3542
shaded,shadedH,shadedH4,3B,yes,2.66,0.83,23.2,0,1,2,19,49,90,0.4578
shaded,shadedH,shadedH5,3B,yes,3.1,0.68,22,0,1,1,17,69,126,0.2548
shaded,shadedH,shadedH5,3B,yes,3.1,0.68,22,0,1,2,26,55,99,0.1797
shaded,shadedH,shadedH6,3B,yes,5.35,1.34,27.1,0,1,1,26,91,159,0.4007
shaded,shadedH,shadedH6,3B,yes,5.35,1.34,27.1,0,1,2,16,43,100,0.5883
shaded,shadedH,shadedH7,3B,no,1.94,0.51,22.2,0,3,1,24,62,130,0.1966
shaded,shadedH,shadedH7,3B,no,1.94,0.51,22.2,0,3,2,29,64,103,0.169
shaded,shadedH,shadedH8,3B,no,3.18,0.66,22.5,0,3,1,20,58,104,0.0863999999999999
shaded,shadedH,shadedH8,3B,no,3.18,0.66,22.5,0,3,2,9,46,81,0.134
shaded,shadedH,shadedH9,3B,yes,2.9,0.76,22.6,0,3,1,29,1200,1200,0.2282
