population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,Nematode_white_encaps,Nematode_dark_encaps,Acari_encaps,Nematode_0_1_free,Nematode_1_3_free,Nematode_3_5_free,Nematode_5_plus_free,Nematode_1_3_lung,Nematode_3_5_lung,Nematode_5_plus_lung,Acari_kidney,Acari_digestive,Trematode_kidney
shaded,shadedH,shadedH4,3B,yes,2.66,0.83,23.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedH,shadedH5,3B,yes,3.1,0.68,22,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedH,shadedH6,3B,yes,5.35,1.34,27.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedH,shadedH7,3B,no,1.94,0.51,22.2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedH,shadedH8,3B,no,3.18,0.66,22.5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedH,shadedH9,3B,yes,2.9,0.76,22.6,0,3,1,4,0,0,0,0,0,0,0,0,0,0,28
shaded,shadedJ,shadedJ1,3B,no,2.8,0.75,23.7,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ2,3B,no,3.39,0.9,22,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ3,3B,no,4.14,0.92,24.5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ4,3B,no,3.09,1.03,23.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ5,3B,no,2.79,0.69,21.8,0,2,4,22,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ6,3B,no,4.26,1.1,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ7,5B,yes,4.17,1.2,24.6,0,1,9,26,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ8,5B,yes,3.39,1.21,23.9,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedJ,shadedJ9,5B,yes,3.09,0.81,22.9,0,2,3,0,15,0,0,0,0,0,0,0,0,0,0
shaded,shadedK,shadedK1,5B,yes,4.07,1.18,24.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
